Date Time,Amount,Category,Payment Mode,User Income,Subscription
2023-06-10 03:00:00,4869,Travel,UPI,30000,No
2023-11-29 21:00:00,2872,Transport,UPI,30000,Yes
2024-02-08 20:00:00,4558,Transport,Cash,70000,No
2023-10-14 09:00:00,1325,Transport,Cash,50000,No
2023-08-25 11:00:00,3133,Food,Net Banking,30000,Yes
2023-01-07 17:00:00,450,Shopping,Card,70000,Yes
2023-06-29 01:00:00,773,Groceries,UPI,100000,No
2023-02-11 11:00:00,2379,Groceries,UPI,70000,No
2023-11-14 21:00:00,1185,Groceries,UPI,50000,No
2024-01-30 11:00:00,2820,Travel,UPI,50000,No
2023-02-12 08:00:00,4896,Entertainment,Net Banking,50000,No
2023-11-24 21:00:00,317,Entertainment,Card,30000,No
2023-09-26 07:00:00,619,Entertainment,Net Banking,70000,No
2023-11-25 20:00:00,2606,Travel,Card,100000,No
2023-10-13 23:00:00,2023,Groceries,UPI,50000,No
2023-11-26 20:00:00,595,Transport,Card,70000,No
2023-12-22 09:00:00,2872,Entertainment,UPI,30000,No
2023-02-06 14:00:00,4510,Transport,Net Banking,100000,No
2024-01-22 04:00:00,4692,Transport,Card,100000,No
2023-07-23 15:00:00,320,Travel,Cash,100000,Yes
2023-07-22 11:00:00,788,Travel,Card,30000,No
2023-09-21 19:00:00,1307,Shopping,UPI,50000,No
2023-12-24 03:00:00,108,Entertainment,Cash,30000,Yes
2023-12-28 20:00:00,4231,Groceries,UPI,100000,Yes
2023-10-28 08:00:00,4908,Food,Cash,70000,No
2023-08-08 20:00:00,439,Travel,Cash,100000,No
2023-03-27 22:00:00,768,Transport,Card,70000,No
2023-01-03 16:00:00,4294,Shopping,Card,30000,No
2023-11-30 14:00:00,4728,Food,Cash,30000,Yes
2023-04-18 00:00:00,170,Travel,Cash,30000,Yes
2023-08-16 15:00:00,2702,Shopping,Cash,70000,No
2023-03-26 11:00:00,2353,Transport,UPI,30000,No
2023-04-23 07:00:00,4911,Entertainment,Card,50000,No
2024-02-08 15:00:00,2961,Shopping,UPI,100000,No
2023-08-08 02:00:00,849,Travel,Card,50000,No
2023-08-23 02:00:00,3430,Entertainment,Net Banking,70000,No
2023-10-08 16:00:00,2156,Transport,UPI,30000,No
2023-01-17 07:00:00,1159,Groceries,Card,100000,No
2023-09-03 12:00:00,1300,Shopping,Cash,30000,No
2023-05-29 09:00:00,2690,Food,Cash,30000,Yes
2023-09-15 16:00:00,1699,Transport,Card,100000,No
2023-05-10 03:00:00,1395,Entertainment,Cash,100000,No
2023-09-19 14:00:00,3006,Transport,Cash,50000,No
2023-12-16 16:00:00,2496,Entertainment,Net Banking,50000,No
2023-05-10 08:00:00,3414,Transport,Net Banking,50000,No
2023-10-28 15:00:00,534,Groceries,Net Banking,50000,No
2023-04-13 06:00:00,852,Shopping,UPI,50000,No
2024-01-10 20:00:00,1765,Food,Net Banking,70000,Yes
2023-04-24 19:00:00,1965,Groceries,Net Banking,70000,No
2023-12-06 18:00:00,3533,Shopping,Net Banking,30000,No
2024-02-11 18:00:00,1807,Food,Card,30000,No
2023-07-30 16:00:00,1859,Transport,Cash,50000,No
2023-12-04 22:00:00,3057,Food,Card,30000,No
2023-06-10 00:00:00,3275,Travel,Net Banking,70000,No
2023-02-12 20:00:00,3545,Food,UPI,70000,Yes
2023-11-04 17:00:00,2370,Shopping,Card,30000,No
2023-01-21 22:00:00,1720,Groceries,Net Banking,50000,Yes
2023-10-15 22:00:00,4665,Groceries,UPI,70000,Yes
2024-01-13 14:00:00,1201,Travel,UPI,100000,No
2023-10-17 02:00:00,4797,Shopping,UPI,100000,No
2023-07-07 00:00:00,2273,Food,Cash,30000,Yes
2023-01-09 14:00:00,2717,Travel,UPI,50000,Yes
2023-08-02 22:00:00,260,Transport,Net Banking,30000,No
2023-09-07 01:00:00,2544,Entertainment,Card,50000,Yes
2023-11-18 17:00:00,4731,Transport,Card,50000,No
2023-10-21 03:00:00,4312,Shopping,Net Banking,100000,No
2023-03-03 20:00:00,2557,Travel,Cash,70000,No
2023-11-24 10:00:00,3013,Groceries,Cash,70000,Yes
2023-02-05 23:00:00,3478,Travel,UPI,30000,No
2023-04-27 06:00:00,3425,Entertainment,Net Banking,30000,No
2023-11-05 16:00:00,4005,Shopping,UPI,50000,No
2023-12-31 19:00:00,3755,Travel,UPI,70000,No
2023-08-02 04:00:00,3455,Transport,Net Banking,50000,Yes
2023-09-08 19:00:00,4088,Food,Cash,100000,Yes
2023-03-15 05:00:00,1102,Transport,Cash,100000,No
2023-11-12 14:00:00,763,Shopping,Card,50000,No
2023-09-23 14:00:00,2938,Travel,Net Banking,50000,No
2023-10-15 04:00:00,737,Transport,UPI,50000,Yes
2023-03-11 22:00:00,379,Travel,Net Banking,50000,No
2023-05-16 02:00:00,1796,Transport,UPI,50000,No
2023-07-13 04:00:00,1257,Shopping,Card,100000,No
2023-02-14 03:00:00,2192,Groceries,Card,100000,No
2023-10-05 20:00:00,834,Transport,Card,100000,No
2024-02-18 02:00:00,2746,Food,Card,30000,No
2023-05-12 13:00:00,3870,Transport,UPI,100000,No
2023-09-04 11:00:00,3768,Shopping,Cash,70000,No
2024-02-12 21:00:00,2743,Transport,UPI,70000,No
2023-04-23 05:00:00,675,Food,Card,50000,No
2023-06-01 03:00:00,4284,Food,Cash,100000,No
2024-02-03 03:00:00,3758,Shopping,Net Banking,50000,No
2023-08-16 02:00:00,811,Travel,UPI,50000,No
2023-03-11 07:00:00,4029,Transport,Net Banking,70000,Yes
2024-02-10 01:00:00,3579,Groceries,Card,70000,Yes
2023-08-22 00:00:00,1605,Food,Net Banking,50000,Yes
2023-11-05 00:00:00,3683,Food,Cash,70000,No
2023-02-24 10:00:00,725,Transport,Cash,50000,Yes
2023-10-10 08:00:00,4237,Travel,Cash,50000,Yes
2023-09-02 08:00:00,86,Transport,UPI,50000,No
2024-01-30 18:00:00,3886,Shopping,Net Banking,30000,Yes
2023-11-10 14:00:00,1837,Groceries,Net Banking,70000,No
2024-01-06 21:00:00,2777,Transport,Net Banking,70000,Yes
2023-08-21 07:00:00,3930,Food,Card,100000,No
2023-08-19 10:00:00,1944,Food,UPI,70000,No
2023-07-03 21:00:00,186,Shopping,UPI,100000,No
2023-06-06 04:00:00,3126,Travel,Net Banking,50000,Yes
2023-01-28 15:00:00,3933,Transport,UPI,30000,Yes
2023-03-25 06:00:00,711,Entertainment,Net Banking,50000,No
2023-11-30 02:00:00,1860,Travel,Net Banking,50000,No
2023-03-04 07:00:00,464,Food,Net Banking,50000,No
2023-05-18 16:00:00,392,Transport,Cash,100000,No
2023-06-06 19:00:00,2779,Food,Card,30000,No
2023-08-07 00:00:00,3500,Groceries,UPI,50000,No
2023-03-19 05:00:00,3715,Travel,Card,100000,No
2023-10-02 09:00:00,3787,Entertainment,Cash,50000,No
2023-02-23 19:00:00,3947,Groceries,UPI,30000,No
2023-05-30 05:00:00,4291,Entertainment,Net Banking,50000,Yes
2023-11-11 18:00:00,4468,Groceries,Card,50000,No
2023-10-31 08:00:00,2219,Travel,Cash,70000,No
2023-03-10 04:00:00,1928,Food,UPI,100000,Yes
2023-06-04 00:00:00,4020,Entertainment,UPI,30000,No
2023-01-30 02:00:00,4746,Travel,Card,100000,No
2023-07-17 09:00:00,4620,Entertainment,Card,70000,No
2023-02-05 14:00:00,2667,Travel,UPI,50000,Yes
2023-12-07 04:00:00,1565,Groceries,UPI,30000,No
2023-09-01 23:00:00,624,Travel,Cash,30000,No
2023-11-05 00:00:00,4492,Groceries,Net Banking,100000,No
2023-09-30 00:00:00,2917,Food,Net Banking,50000,No
2023-08-07 17:00:00,3594,Groceries,Cash,70000,No
2023-08-04 12:00:00,4527,Shopping,UPI,50000,No
2023-03-13 03:00:00,121,Food,Card,100000,No
2023-08-30 07:00:00,2618,Transport,Card,30000,No
2024-02-18 13:00:00,3487,Transport,UPI,30000,No
2023-08-19 15:00:00,3030,Travel,Cash,50000,No
2023-07-25 11:00:00,1167,Travel,UPI,50000,No
2023-05-27 06:00:00,2436,Shopping,Card,50000,Yes
2023-01-09 10:00:00,3558,Travel,UPI,50000,No
2023-06-25 18:00:00,1409,Food,UPI,70000,No
2024-01-09 06:00:00,4809,Food,Cash,70000,No
2023-07-02 21:00:00,1565,Groceries,Net Banking,70000,No
2023-04-07 23:00:00,89,Entertainment,Card,70000,No
2023-11-30 12:00:00,1432,Travel,Card,100000,No
2023-05-03 03:00:00,2080,Shopping,UPI,30000,No
2023-11-21 01:00:00,2671,Transport,Card,30000,Yes
2023-01-09 05:00:00,1950,Food,Card,100000,No
2023-10-24 21:00:00,2267,Food,Net Banking,100000,No
2023-03-22 10:00:00,4846,Food,Card,70000,No
2023-09-19 23:00:00,4656,Entertainment,Card,50000,No
2024-01-02 16:00:00,1333,Entertainment,Cash,30000,No
2024-01-25 03:00:00,633,Travel,Cash,100000,No
2023-06-28 10:00:00,508,Transport,Cash,50000,No
2023-04-15 15:00:00,2315,Shopping,Cash,70000,No
2024-02-21 02:00:00,2716,Entertainment,Cash,100000,No
2023-01-28 11:00:00,865,Groceries,Net Banking,30000,No
2023-04-28 03:00:00,2561,Entertainment,Card,30000,No
2023-10-23 18:00:00,296,Food,UPI,30000,Yes
2023-09-30 18:00:00,4875,Shopping,Net Banking,100000,No
2024-02-03 09:00:00,466,Travel,UPI,30000,No
2023-03-24 18:00:00,4513,Entertainment,Cash,70000,No
2023-12-14 10:00:00,3767,Food,Card,30000,Yes
2023-05-02 07:00:00,157,Groceries,Cash,70000,No
2023-03-14 06:00:00,2681,Groceries,Net Banking,30000,No
2023-03-18 19:00:00,888,Travel,UPI,70000,No
2023-12-28 16:00:00,4563,Travel,Card,100000,No
2023-05-05 00:00:00,4966,Entertainment,Net Banking,70000,Yes
2023-03-23 15:00:00,1471,Travel,Net Banking,100000,No
2023-08-28 23:00:00,4828,Transport,Card,50000,No
2023-10-06 22:00:00,3962,Transport,Card,70000,No
2023-04-10 09:00:00,305,Food,Net Banking,100000,No
2023-07-17 08:00:00,2877,Food,UPI,50000,No
2023-03-17 02:00:00,887,Food,UPI,30000,No
2023-12-06 19:00:00,3012,Transport,Net Banking,50000,No
2023-12-05 08:00:00,2332,Entertainment,Net Banking,70000,No
2023-10-03 16:00:00,602,Entertainment,Cash,50000,No
2023-08-19 14:00:00,230,Travel,Cash,30000,No
2023-06-19 05:00:00,4302,Entertainment,UPI,50000,No
2023-01-11 22:00:00,1527,Food,Cash,70000,Yes
2023-09-19 23:00:00,620,Shopping,UPI,70000,No
2024-01-03 07:00:00,1777,Food,Card,100000,No
2024-01-19 16:00:00,641,Transport,Cash,30000,Yes
2023-03-27 09:00:00,4566,Shopping,UPI,30000,Yes
2023-08-14 23:00:00,2310,Travel,UPI,50000,No
2023-07-09 12:00:00,2997,Groceries,Net Banking,30000,No
2023-05-10 12:00:00,397,Entertainment,UPI,70000,No
2023-10-26 06:00:00,215,Entertainment,Cash,50000,No
2023-11-05 08:00:00,4493,Transport,Net Banking,100000,No
2023-05-13 02:00:00,2946,Food,Net Banking,50000,No
2024-02-16 10:00:00,4543,Food,Cash,50000,No
2023-04-04 23:00:00,632,Shopping,Card,100000,No
2023-02-18 02:00:00,3556,Entertainment,Cash,50000,No
2023-07-07 11:00:00,4453,Transport,Cash,30000,No
2023-09-20 07:00:00,3088,Travel,Net Banking,50000,Yes
2023-09-16 05:00:00,2895,Food,Cash,50000,No
2024-02-17 00:00:00,2816,Entertainment,Card,50000,Yes
2023-03-10 16:00:00,4244,Groceries,Card,70000,No
2023-08-19 19:00:00,1315,Transport,Card,70000,No
2024-02-06 13:00:00,4303,Shopping,Net Banking,30000,No
2023-06-24 23:00:00,4699,Food,Cash,100000,No
2023-12-18 21:00:00,4796,Food,UPI,70000,No
2023-04-17 13:00:00,3017,Travel,Cash,70000,No
2023-08-22 00:00:00,2324,Food,Card,30000,Yes
2023-01-05 02:00:00,2520,Transport,Cash,30000,No
2023-04-02 16:00:00,2340,Entertainment,Net Banking,100000,No
2023-05-04 09:00:00,2627,Entertainment,Cash,50000,No
2023-07-27 05:00:00,3710,Entertainment,Net Banking,50000,No
2023-07-04 17:00:00,1118,Groceries,UPI,100000,No
2023-04-30 13:00:00,2786,Groceries,UPI,100000,Yes
2023-02-09 20:00:00,4879,Food,Net Banking,100000,No
2023-12-15 00:00:00,2000,Groceries,Cash,30000,No
2023-08-26 11:00:00,141,Groceries,Card,50000,No
2023-10-17 08:00:00,3143,Travel,Net Banking,100000,Yes
2023-07-07 05:00:00,2269,Groceries,Cash,100000,No
2024-01-31 12:00:00,1437,Shopping,Cash,50000,No
2023-07-24 15:00:00,4324,Shopping,Cash,50000,No
2023-06-16 03:00:00,2335,Shopping,Card,30000,Yes
2024-02-09 23:00:00,3256,Food,Card,70000,Yes
2023-09-08 15:00:00,2974,Entertainment,Card,70000,No
2023-02-20 18:00:00,329,Travel,Net Banking,30000,No
2023-07-07 08:00:00,1668,Food,Net Banking,30000,No
2023-07-17 07:00:00,2837,Entertainment,Card,50000,No
2023-07-09 19:00:00,420,Travel,Net Banking,30000,No
2024-01-17 02:00:00,3233,Travel,Card,30000,No
2023-12-02 10:00:00,3884,Travel,Net Banking,100000,Yes
2023-05-24 14:00:00,1753,Shopping,Cash,30000,No
2023-02-13 13:00:00,2318,Shopping,Card,30000,Yes
2023-10-15 05:00:00,353,Shopping,Net Banking,100000,Yes
2023-03-12 13:00:00,3824,Travel,Cash,50000,Yes
2023-05-24 04:00:00,1398,Transport,Cash,50000,No
2023-12-31 18:00:00,2472,Travel,Net Banking,30000,No
2023-09-03 15:00:00,3678,Shopping,Cash,30000,No
2023-05-20 18:00:00,2478,Travel,UPI,70000,Yes
2023-01-10 09:00:00,3083,Shopping,Card,100000,No
2023-07-23 21:00:00,718,Shopping,Card,70000,Yes
2023-10-20 14:00:00,549,Shopping,Cash,30000,Yes
2024-01-17 07:00:00,1464,Transport,Net Banking,70000,No
2023-08-22 08:00:00,579,Entertainment,UPI,70000,No
2023-11-30 04:00:00,3671,Travel,Net Banking,50000,No
2024-01-11 07:00:00,3506,Food,Card,100000,No
2023-11-17 03:00:00,804,Shopping,Cash,50000,Yes
2023-07-13 10:00:00,2397,Transport,UPI,50000,No
2023-11-16 23:00:00,4960,Food,Cash,70000,No
2023-12-09 00:00:00,776,Entertainment,UPI,100000,Yes
2023-11-02 19:00:00,4876,Travel,Cash,30000,No
2024-01-29 03:00:00,4973,Transport,Net Banking,100000,No
2023-04-02 21:00:00,2699,Shopping,Card,50000,No
2023-02-14 13:00:00,2096,Shopping,Cash,70000,No
2023-05-24 12:00:00,2865,Shopping,Cash,30000,No
2023-02-14 04:00:00,924,Transport,UPI,50000,No
2023-04-07 23:00:00,3329,Food,Net Banking,70000,No
2023-05-23 12:00:00,3034,Entertainment,Net Banking,50000,No
2023-01-13 13:00:00,2228,Travel,UPI,70000,Yes
2023-01-26 06:00:00,3857,Entertainment,Net Banking,100000,No
2023-05-13 02:00:00,657,Shopping,Card,50000,Yes
2023-01-30 03:00:00,684,Entertainment,Cash,100000,No
2023-08-01 00:00:00,4629,Food,UPI,100000,Yes
2024-01-24 19:00:00,2777,Groceries,Net Banking,70000,No
2023-01-08 22:00:00,1124,Groceries,Card,30000,Yes
2023-02-10 20:00:00,1964,Travel,Card,100000,Yes
2023-05-04 23:00:00,638,Travel,Net Banking,50000,Yes
2023-09-12 06:00:00,3281,Entertainment,Net Banking,50000,No
2023-02-19 08:00:00,2354,Travel,UPI,70000,No
2023-05-19 15:00:00,3888,Transport,Net Banking,100000,No
2023-05-22 10:00:00,2023,Food,UPI,30000,No
2023-12-13 15:00:00,2105,Shopping,Cash,30000,No
2023-03-17 16:00:00,3530,Shopping,Card,50000,No
2023-09-01 22:00:00,2129,Entertainment,UPI,70000,No
2023-10-07 13:00:00,3102,Shopping,Card,100000,Yes
2023-01-24 17:00:00,4532,Entertainment,Cash,50000,Yes
2023-08-15 18:00:00,1301,Travel,Net Banking,70000,No
2023-03-20 23:00:00,3845,Travel,UPI,30000,No
2023-04-24 21:00:00,3872,Transport,Net Banking,50000,Yes
2023-06-10 23:00:00,4352,Transport,Card,70000,No
2023-11-07 15:00:00,3439,Food,UPI,30000,Yes
2023-06-17 06:00:00,1830,Shopping,Cash,70000,No
2023-03-12 06:00:00,2654,Transport,Cash,50000,No
2023-05-06 09:00:00,3738,Food,Net Banking,100000,No
2023-11-22 06:00:00,4938,Groceries,Cash,70000,No
2023-01-07 10:00:00,1774,Transport,Cash,100000,No
2023-02-28 17:00:00,2834,Food,Net Banking,50000,Yes
2023-02-02 16:00:00,3769,Entertainment,Net Banking,30000,No
2023-12-04 08:00:00,1727,Entertainment,UPI,70000,No
2023-11-12 00:00:00,498,Food,UPI,30000,No
2023-11-02 23:00:00,4737,Travel,Net Banking,100000,No
2023-10-28 06:00:00,131,Groceries,Card,100000,Yes
2023-08-22 04:00:00,1456,Food,Card,30000,No
2023-08-30 17:00:00,1530,Transport,UPI,50000,No
2023-04-27 22:00:00,1129,Travel,UPI,100000,Yes
2023-01-23 09:00:00,3648,Food,Net Banking,50000,No
2023-09-07 10:00:00,4564,Shopping,Card,30000,No
2023-03-18 17:00:00,4233,Transport,Net Banking,50000,No
2023-12-30 04:00:00,3730,Transport,UPI,100000,No
2023-10-18 11:00:00,2753,Entertainment,Cash,30000,No
2023-08-23 09:00:00,4360,Shopping,Cash,50000,No
2023-05-03 22:00:00,3806,Shopping,Cash,50000,No
2023-11-30 00:00:00,1808,Transport,Net Banking,70000,No
2023-07-19 04:00:00,2649,Groceries,Card,100000,Yes
2023-04-09 16:00:00,2600,Travel,UPI,70000,No
2023-10-05 07:00:00,3903,Entertainment,Card,50000,No
2023-12-07 13:00:00,2796,Shopping,Card,100000,No
2023-07-07 07:00:00,2342,Entertainment,UPI,30000,Yes
2024-01-17 19:00:00,1551,Transport,Card,30000,No
2023-09-08 02:00:00,4454,Travel,Cash,30000,No
2023-10-03 14:00:00,280,Food,UPI,50000,No
2024-01-25 22:00:00,4300,Shopping,Cash,50000,No
2023-09-04 15:00:00,1248,Travel,Net Banking,30000,No
2023-02-05 13:00:00,164,Entertainment,Cash,70000,No
2023-06-22 18:00:00,1463,Transport,Net Banking,70000,No
2023-06-07 01:00:00,4456,Travel,Net Banking,100000,Yes
2023-01-24 22:00:00,1042,Food,UPI,100000,No
2023-02-17 20:00:00,2397,Travel,Cash,30000,No
2023-09-20 05:00:00,1091,Transport,Cash,50000,Yes
2023-09-27 01:00:00,61,Entertainment,Cash,50000,No
2023-11-09 21:00:00,3726,Shopping,UPI,100000,Yes
2024-02-17 19:00:00,4875,Shopping,Net Banking,30000,No
2023-07-19 01:00:00,3115,Groceries,Net Banking,100000,No
2023-06-10 14:00:00,2086,Entertainment,Net Banking,70000,No
2023-04-14 19:00:00,3096,Groceries,UPI,30000,No
2023-05-11 04:00:00,2400,Groceries,UPI,30000,Yes
2023-08-26 03:00:00,590,Transport,Card,30000,No
2023-05-08 03:00:00,2910,Transport,Cash,70000,No
2023-01-01 04:00:00,126,Transport,Net Banking,30000,No
2023-08-06 14:00:00,3117,Food,Card,100000,No
2023-08-10 11:00:00,73,Entertainment,Card,70000,No
2023-07-22 21:00:00,725,Shopping,Cash,50000,No
2023-02-06 12:00:00,2444,Entertainment,UPI,100000,No
2024-01-18 15:00:00,4317,Transport,Card,100000,No
2023-10-20 19:00:00,3448,Food,UPI,100000,No
2023-06-22 14:00:00,2809,Entertainment,UPI,70000,No
2023-10-18 06:00:00,538,Entertainment,Cash,100000,Yes
2023-10-22 23:00:00,1535,Groceries,Card,70000,No
2023-11-29 19:00:00,3709,Entertainment,Net Banking,30000,Yes
2023-10-11 07:00:00,3285,Groceries,Card,50000,No
2023-07-06 01:00:00,2469,Groceries,Net Banking,30000,No
2023-01-27 11:00:00,3545,Travel,Net Banking,100000,Yes
2023-03-12 13:00:00,806,Transport,UPI,70000,No
2024-02-16 10:00:00,2574,Food,Net Banking,70000,Yes
2023-07-18 00:00:00,4300,Groceries,Cash,30000,Yes
2023-12-13 07:00:00,306,Entertainment,Card,100000,No
2023-02-04 14:00:00,1829,Groceries,UPI,50000,No
2023-08-04 17:00:00,4819,Groceries,UPI,70000,No
2024-02-03 09:00:00,2165,Groceries,Net Banking,70000,No
2024-01-08 04:00:00,3398,Shopping,UPI,100000,No
2023-12-13 04:00:00,4818,Shopping,Cash,70000,Yes
2023-09-05 21:00:00,1522,Shopping,Cash,100000,No
2023-04-29 06:00:00,308,Shopping,UPI,100000,No
2023-02-17 22:00:00,4125,Travel,UPI,50000,Yes
2023-11-12 00:00:00,356,Groceries,Cash,100000,Yes
2023-03-22 11:00:00,1168,Travel,Net Banking,30000,No
2024-01-19 12:00:00,3067,Entertainment,UPI,50000,No
2023-03-11 08:00:00,4391,Transport,Net Banking,100000,No
2023-02-15 01:00:00,2830,Food,UPI,100000,No
2023-01-22 08:00:00,1708,Travel,Cash,50000,No
2023-11-22 05:00:00,236,Shopping,UPI,70000,Yes
2023-08-07 05:00:00,1847,Shopping,UPI,50000,No
2023-01-24 07:00:00,974,Entertainment,UPI,70000,No
2023-06-03 00:00:00,834,Groceries,Cash,50000,No
2023-11-05 12:00:00,3494,Food,Cash,50000,No
2023-05-20 07:00:00,3246,Travel,Cash,30000,Yes
2023-06-19 14:00:00,1410,Groceries,Card,50000,No
2024-02-07 14:00:00,390,Groceries,Card,30000,No
2023-01-25 04:00:00,612,Transport,Card,100000,No
2023-10-19 20:00:00,4796,Transport,Card,70000,No
2023-12-05 18:00:00,3049,Travel,Cash,70000,No
2023-05-12 03:00:00,1243,Travel,UPI,30000,No
2023-06-27 01:00:00,3160,Travel,Cash,70000,No
2023-03-11 23:00:00,118,Travel,Card,70000,No
2023-05-27 02:00:00,2478,Shopping,Net Banking,50000,No
2023-10-30 05:00:00,3648,Groceries,Net Banking,30000,No
2023-04-25 08:00:00,2422,Groceries,Cash,70000,No
2024-01-29 03:00:00,4606,Shopping,UPI,100000,No
2023-08-05 04:00:00,893,Groceries,Card,30000,Yes
2023-03-31 05:00:00,623,Travel,UPI,50000,Yes
2023-10-03 17:00:00,4264,Food,UPI,100000,No
2023-04-14 07:00:00,2646,Transport,UPI,70000,Yes
2023-09-28 04:00:00,4791,Transport,Card,70000,No
2024-02-14 11:00:00,1528,Groceries,Cash,30000,No
2023-11-06 05:00:00,2123,Food,Card,70000,Yes
2024-02-19 13:00:00,1563,Transport,Card,30000,No
2023-07-05 12:00:00,1018,Food,Cash,70000,No
2023-09-03 01:00:00,2246,Shopping,Cash,100000,No
2023-10-05 17:00:00,1561,Entertainment,Cash,50000,No
2023-04-29 17:00:00,704,Groceries,Net Banking,100000,No
2023-11-04 22:00:00,3042,Shopping,Net Banking,50000,Yes
2023-10-15 17:00:00,4700,Shopping,Cash,30000,No
2023-04-14 17:00:00,4570,Food,UPI,70000,No
2024-02-14 07:00:00,342,Groceries,Net Banking,100000,No
2024-01-19 15:00:00,2651,Shopping,Card,70000,No
2024-02-02 12:00:00,4576,Travel,Card,30000,No
2023-07-12 03:00:00,4462,Shopping,Net Banking,50000,No
2023-04-29 07:00:00,4543,Travel,Card,100000,No
2023-12-22 07:00:00,1638,Entertainment,Cash,50000,No
2023-09-02 22:00:00,645,Travel,Card,50000,No
2024-01-14 15:00:00,2643,Travel,Net Banking,30000,No
2023-09-20 15:00:00,2173,Food,UPI,50000,No
2023-02-05 11:00:00,1993,Shopping,Card,30000,No
2023-03-12 07:00:00,965,Entertainment,Card,50000,No
2023-10-12 17:00:00,3919,Shopping,UPI,50000,No
2023-04-12 03:00:00,2844,Travel,Net Banking,100000,No
2024-02-11 16:00:00,3128,Transport,UPI,30000,No
2023-06-16 16:00:00,1025,Travel,Card,70000,No
2023-07-30 12:00:00,1125,Shopping,Net Banking,70000,No
2023-04-25 02:00:00,3039,Entertainment,Cash,70000,No
2023-08-27 20:00:00,3517,Transport,Net Banking,100000,No
2023-08-13 11:00:00,1501,Entertainment,Net Banking,100000,Yes
2023-11-30 10:00:00,3873,Food,Cash,50000,No
2023-08-19 16:00:00,3982,Travel,Net Banking,50000,No
2023-06-13 01:00:00,2078,Travel,Card,70000,No
